Dancing Blade,Regeneration,Destiny,Double Dash,Clearing the Path,Binding Wounds,On Guard,Steel Palace
Active Melee Ability,Passive Ability,Active Melee Ability,Passive Ability,Active Melee Ability,Active Melee Ability,Passive Ability,Active Melee Ability
3 ap,3 ap,27 ap,27 ap,27 ap,27 ap,27 ap,27 ap
"2.5sec Instant
Channelled: Every 0.5 seconds for 2.5 seconds.
Consumes all Blade Resources.
A channelled Focus attack that deals 39 physical damage.","""Major Discipline"" also gives you a heal over time effect, which heals for 57 every second while it is active.","Instant Instant
Consumes all Blade Resources.
A single target attack that deals 55 physical damage. If the target is Afflicted, it also applies a damage over time effect that deals 13 physical damage every second for 4 seconds.",Reduces the recharge time of all Dash abilites by 25%.,"Instant Instant
PBAoE: Applied to up to 5 enemies within a 5 meter radius around you.
Consumes all Blade Resources.
A PBAoE attack that deals 57 physical damage. This attack penetrates any Afflicted targets it hits.","Instant Instant
Consumes all Blade Resources.
A single target attack that deals 81 physical damage. If the target is Impaired, it becomes Afflicted with a damage over time effect that  deals 7 physical damage every second for 10 seconds. This ability generates additional hate.","Whenever you apply Impaired, you also gain 1 stack of the Defence Rating effect, which increases Defense Rating by 30 per stack for 8 seconds. This effect can stack up to 10 times.","Instant
PBAoE: Affects 5 enemies in a 5 metre radius around you.
Consumes all Blade Resources.
A PBAoE attack that deals 59 physical damage. If any affected targets are Afflicted, you gain the Minor Ward effect, which reduces all damage received by 7.5% for 8 seconds."
Sharp Blade,Surging Blades,Destiny Fulfilled,Steel Echo,Voracity,Finish the Movement,Sling Blade,Shadow Play
Passive Ability,Active Melee Ability,Passive Ability,Active Melee Ability,Passive Ability,Passive Ability,Active Melee Ability,Passive Ability
4 ap,4 ap,34 ap,34 ap,34 ap,34 ap,34 ap,34 ap
Increases damage dealt by Blade abilites by 10%.,"Instant 15sec
Column Dash: Dash forward 10 metres, affecting up to 5 enemies in a 6 metre wide column along the way.
A column dash attack that deals 58 physical damage.","Whenever you hit a target that has the Damage over Time effect from ""Destiny"", the effect is removed, dealing 55 physical damage.","Instant 60sec
You gain a beneficial effect that causes all you Blade attacks for 10 seconds to perform an additional hit dealing 31 physical damage. This additional hit is treated as a full hit.",Increased Penetration Chance of Frenzy abilites by 7.5%. ,"Whenever you finish channelling a Focus ability, you gain 1 resource for your primary weapon.","Instant 15sec
Throws a blade at the target dealing 93 physical damage and causes the target to become Afflicted with a damage over time effect that deals 6 physical damage every second for 5 seconds.","""Crimson Theatre"" also grants you the Minor Defence effect, which increases the chance that attacks against you will glance by 10% for 8 seconds."
Stunning Swirl,Fluid Defense,Four Seasons,Flight of Daggers,Master's House,Silver Streak,Sixth Sense,The Art of War
Active Melee Ability (Elite),Passive Ability (Elite),Active Melee Ability (Elite),Passive Ability (Elite),Active Melee Ability (Elite),Active Melee Ability (Elite),Passive Ability (Elite),Active Melee Ability (Elite)
7 ap,7 ap,50 ap,50 ap,50 ap,50 ap,50 ap,50 ap
"Instant 30sec
PBAoE; Affects up to 5 enemies in a 5 metre area around you.
A PBAoE attack that deals 92 physical damage.
Affected targets also become Impaired and unable to act for 3 seconds.","Whenever you receive a glancing hit, you gain the Major Ward effect, which reduces the damage you take by 7.5% for 6 seconds.
Whenever you penetrate, you gain a beneficial effect that increases all damage dealt by 5% for 10 seconds.","2.5sec 30sec
Channelled every 0.5 seconds for 2.5 seconds.
A channelled attack that deals 31 physical damage each hit. The damage dealt increases by 5% for each hit, and all hits will penetrate. The last hit will cause the target to become  Impaired and unable to act for 3 seconds. This ability has a 15 metre range.","Whenever you attack, you build a Flight of Daggers counter. When the counter reaches 5, you will hit up to 3 enemies in a 5 metre radius around you, dealing 46 physical damage. Affected targets also become Afflicted State with a damage over time effect that deals 10 physical damage every second for 5 seconds.","Instant 45sec
Creates a 15 metre radius area at your feet, which lasts 10 seconds. While you are inside this area, your movement speed is increased by 25%, damage is increased by 20%, and you are immune to root and snare effects.","Instant 45sec
Gives you a beneficial effect that lasts 8 seconds. You receive a 100% resistance to Hindered and Impaired. Silver Streak increases movement speed by 10%. Whenever you hit, you heal for 1.5% of your maximum health. Whenever you hit, you gain a Minor Defence effect, which increases the chance that attacks against you will glance by 10% for 8 seconds.","Whenever you are glanced, you build a Sixth Sense Counter. When there are 6 counters, your next attack will perform an additional hit that deals 248 and heals you for 10% of your maximum health.","Instant 30sec
PBAoE: Affects up to 5 enemies in a 5 metre radius around you.
A PBAoE attack that deals 92 physical damage and causes each target hit to be forced to attack you for 5 seconds. targets hit also become Impaired and unable to act for 1 second. For each affected target, the next 2 attacks against you will glance."
,,,,,,,
Hammer,,,,,,,
Brawn,Grit,Industrial Action,Brute Force,Excessive Damage,Sledge Factory,Battering Works,Hammer Pit
Smash,Brawler,First Blood,Punishment,Ground Pound,Grip Whip,Bully,Razor Shards
Active Melee Ability,Passive Ability,Active Melee Ability,Passive Ability,Active Melee Ability,Active Melee Ability,Passive Ability,Active Melee Ability
1 ap,1 ap,9 ap ,9 ap ,9 ap ,9 ap ,9 ap ,9 ap 
"Instant Instant
Builds 1 resource for each equipped weapon. 
A Single target attack that deals 48 physical damage.",Increases Crit power by 15%,"Instant Instant
Builds 1 resource for each equppied weapon.
A single target Strike attack that deals 47 physical damage, or 55 physical damage if you have no Hammer Resources.","Whenever you hit a Weakened target, you gain a beneficial effect that increase your Critical Damage Rating by 30 per stack for 10 seconds.
This effect can stack up to 5 times.","Instant Instant
PBAoE: Affects up to 5 enemies in a 5 metre radius around you.
Builds 1 resource for each equipped weapon. 
A PBAoE attack that deals 31 physical damage, or 39 physical damage if you have no Hammer Resources.","Instant Instant
Builds 1 resource for each equipped weapon.
A single target attack that deals 60 physical damage. Grants you a single stack of the Block Rating effect, which increases your Block Rating  by 30 for 8 seconds. This effect can stack up to 10 times.","Whenever you apply Impaired, you Build 2 Hammer Resources.","Instant Instant
PBAoE: Affects up to 5 enemies in a 5 metre radius around you.
Consumes all Hammer Resources.
A PBAoE attack that deals 59 physical damage and increases all affected enemies' hate towards you. Grants a hate increasing effect for you next attack, this effect scales based on the amount of resources spent."
Below the Belt,Grand Slam,Soft Target,Touchdown!,Sweetspot,You're Next,Trucker,Blindside
Passive Ability,Active Melee Ability,Passive Ability,Active Melee Ability,Passive Ability,Passive Ability,Active Melee Ability,Passive Ability
1 ap,1 ap,12 ap,12 ap,12 ap,12 ap,12 ap,12 ap
"Whenever you hit with ""Smash"", the target also becomes Weakened by a single stack of the Debilitated effect, which reduces all damage dealt by 3% per stack for 10 seconds. The effect can stack up to 10 times.","Instant Instant
Builds 1 resource for each equipped weapon. 
A single target attack that deals 45 physical damage. If you hit a Weakened target, an AoE that deals 9 physical damage appears, effecting up to 5 enemies in a 5 meter radius around your target. This additional damage generates a large amount of hate towards you.","Whenever you critically hit an Impaired target, the next resource builder you activate builds 2 additional resource for your primary weapon.","Instant 20sec
Charge: 15 metre leap to your target. The target must be at least 3 metres away.
You charge your target dealing 74 physical damage to up to 5 enemies in a 5 metre radius as you land.","You gain 30 health each time you critically hit, ","Whenever you Block an attack, you gain a beneficial effect that increases the damage dealt by the next attack you activate within 10 seconds by 5% and generate twice as much hate.","Instant 25sec
Charge: 15 metre charge to the target.
You charge to the target and gain the Major Block Chance effect, which increases Block Chance by 40% for 6 seconds.","Whenever you block an attack, you deal 26 physical damage back to the attacker."
Hell to Pay,Street Fighter,Molten Steel,Insult to Injury,No Mercy,Aftershock,Brick Wall,Rupture
Active Melee Ability,Passive Ability,Active Melee Ability,Passive Ability,Active Melee Ability,Active Melee Ability,Passive Ability,Active Melee Ability
1 ap,1 ap,16 ap,16 ap,16 ap,16 ap,16 ap,16 ap
"Instant Instant
Column: Affects up to 5 enemies in a 4 meter wide by 5 meter long area in front of you. 
Consumes all hammer resources. 
A column Blast attack that deals 60 physical damage.","Whenever you apply Impaired, you gain a beneficial effect that increases all damage dealt by 10% for 8 seconds.","Instant Instant
Consumes all Hammer Resources.
A single target attack that deals 86 physical damage. Deals 30% additional critical damage.","Whenever you critical hit, your target becomes Weakened by a single stack of the Debilitated effect, which reduces all damage dealt by 3% per stack for 10 seconds. Debilitated can stack up to 10 times.","Instant Instant
Column: Affects up to 5 enemies in a 4 metre wide by 5 metre long column in front of you.
Consumes all Hammer Resources.
A column Blast attack that deals 56 physical damage. Will critically hit if activated within 30 seconds of killing another enemy.","Instant 4sec
Consumes all Hammer resources.
A single target Strike that deals 76 physical damage. If the target is still within 5 metres of you after 3 seconds, this attack hits a second time dealing 35 physical damage and you gain the Minor Ward effect, which decreases all damage received by 7.5% for 8 seconds.","Whenever you block an attack, your attacker becomes Impaired and knocked to the ground for 2 seconds. This effect has a recharge time of 30 seconds.","Instant Instant
Column: Affects up to 5 enemies in a 4 metre wide by 5 metre long column in front of you.
Builds 1 resource for each equipped weapon.
A column Blast attack that deals 31 physical damage, or 39 physical damage if you have no Hammer resources."
Righteous Fury,Stonewalled,Wrecking Crew,Beatdown,Improved Blasts,Improved Strikes,Stones Throw,Bullheaded
Passive,Active Melee ,Passive Ability,Active Melee Ability,Passive Ability,Passive Ability,Active Melee Ability,Passive Ability
2 ap,2 ap,21 ap,21 ap,21 ap,21 ap,21 ap,21 ap
"Increases the critical chance of your ""Hell to Pay"" ability by 15%","Instant 45sec
You gain the Major Block Chance Effect, which increases your Block Chance by 40% for 6 seconds.",Increase thje Crit Power of Strike attacks by 20%.,"Instant 45sec
A single target attack that deals 23 physical damage. If you hit, your target becomes Impaired and knocked to the ground for 3 seconds.","Whenever you hit a Blast ability, your target becomes Weakened by a single stack of the Exposed effect, which increases all damage received by 3% per stack for 10 seconds. This effect can stack up to 10 times.",Increases the damage and healing of Strike abilities by 7.5%.,"Instant 15sec
A single target ranged attack that deals 114 physical damage. If hit, your target becomes Weakened by 2 stacks of the Debilitated effect, which reduces all damage dealt by 3% per stack for 10 seconds. This effect can stack up to 10 times. Generates a large amount of hate.","Whenever you hit with a Blast ability, you gain a single stack of the Protection effect, which increases you Physical and Magical Protection Rating by 30 per stack for 8 seconds."
Haymaker,Stone Cold,Bone Breaker,Tenderising,Piledriver,Obsidian Aegis,No Pain No Gain,Blowout
Active Melee Ability,Passive Ability,Active Melee Ability,Passive Ability,Active Melee Ability,Active Melee Ability,Passive Ability,Active Melee Ability
3 ap,3 ap,27 ap,27 ap,27 ap,27 ap,27 ap,27 ap
"Instant Instant
Consumes all Hammer Resources. 
A single target Strike attack that deals 86 physical damage physical damage, or 103 physical damage if the target is Impaired.","Reduces the recharge time of ""Stonewalled"" by 15 seconds.","Instant Instant
Consumes all Hammer Resources.
A single target attack that deals 86 physical damage, or 95 physical damage if the target is Weakened. ","Whenever you hit a Weakened target, you perform an additional hit dealing 4 physical damage.","Instant Instant
PBAoE: Affects up to 5 enemies in a 5 metre radius around you.
Consumes all Hammer resources.
You smash your hammer into the ground, creating a PBAoE that deals 57 physical damage. If the attack hits an  Impaired enemy receive a single stack of the Critical Rating effect for each Hammer Resource spent. Each stack increases your Critical Rating by 30 for 8 seconds. The Critical Rating effect can stack up to 5 times.","Instant Instant
Consumes all Hammer Resources.
A single target attack that deals 85 physical damage. If you hit an Impaired target, you gain the Major Ward effect, which reduces all damage received by 25% for 6 seconds.","Whenever you hit an Impaired target, you heal for 46.","Instant 15sec
PBAoE: Affects up to 5 enemies in a 5 metre radius around you, pulsing every second for 10 seconds.
Consumes all Hammer Resources.
A pulsing PBAoE attack that deals 8 physical damage per pulse. If you hit an Weakened target, you gain a stacking effect increasing you health by 5%. This effect stacks a maximun of 5 times."
Hard Impact,Backhanded,Metal Worker,Full Momentum,Knuckle Down,Immovable Object,Furnace,Faultline
Passive Ability,Active Melee Ability,Passive Ability,Active Melee Ability,Passive Ability,Passive Ability,Active Melee Ability,Passive Ability
4 ap,4 ap,34 ap,34 ap,34 ap,34 ap,34 ap,34 ap
Increases the damage you do with your Hammer abilities by 10%,"Instant 5sec
Builds 2 Hammer Resources if you have no Hammer Resources. 
A single target attack that deals 55 physical damage.","Increase the Critical Chance of ""Molten Steel"" by 10%.","Instant 30sec
You gain a beneficial effect that causes the next Hammer Resource builder you activate to build 5 Hammer Resources.",Increases damage dealt by resource builders by 10%.,"Whenever an enemy deals damage to you, you deal 7 physical damage back to your attacker.","Instant 30sec
PBAoE: Affects up to 5 enemies in a 5 metre radius around your target.
A PBAoE attack that deals 75 physical damage. Affected targets become Weakened by 3 stacks of the Debilitated effect, which reduces all damage dealt by 3% per stack for 10 seconds. This effect can stack up to 10 times. For each target affected, you gain a single stack of the Protection effect, which increases Physical and Magical Protection by 30 per stack for 8 seconds.
Protection can stack up to 5 times.","Increase the duration of ""Blowout"" by 5 seconds."
Shockwave,"Cool, Calm & Collected",Epicentre,Thunderstruck,Eruption,Unstoppable Force,Forged in Fire,Raging Volcano
Active Melee Ability (Elite),Passive Ability (Elite),Active Melee Ability (Elite),Passive Ability (Elite),Active Melee Ability (Elite),Active Melee Ability (Elite),Passive Ability (Elite),Active Melee Ability (Elite)
7 ap,7 ap,50 ap,50 ap,50 ap,50 ap,50 ap,50 ap
"Instant 30sec
Column: Affects up to 5 enemies in a 4 meter wide by 8 meter long area in front of you. 
A Column attack that deals 92 physical damage. Affected targets also become Impaired and knocked to the ground for 3 seconds.","Whenever you block an attack, your attacker generates additional hate towards you and you gain the Minor Ward effect, which reduces all damage received by 7.5% for 8 seconds. Whenever you critically hit, you gain a beneficial effect that increases all damage dealt by 5% for 10 seconds.","Instant 30sec
You gain 4 stacks of the Epicentre effect. Each attack you perform will expend a stack and cause a 5 metre radius area to appear around you, which lasts 5 seconds.  Enemies inside the area are dealt 26 physical damage every second and their movement speed is reduced by 20%. Recharge time does not begin until all stacks of the Epicentre effect have been expended.",Increase the duration of Impaired effects you apply by 25%.,"Instant 30sec
Column: Affects up to 5 enemies in a 6 metre wide by 9 metre area in front of you.
You smash your hammer into the ground, creating a column of molten spikes in front of you that deals 127 physical damage. If you hit, your target becomes Impaired and knock the target up in the air for 3.5 seconds.","Instant 45sec
You grow in size by 25% and gain 15% more health for 6 seconds. While this buff is active you are immune to crowd control effects and have a movement speed of 80%. You also receive the Major Block Chance effect, which increases you Block Chance by 40% for 6 seconds. You heal for 228.",Whenever you drop below 50% health you will regenerate 40% of your health over 10 seconds. This effect can apply once every 30 seconds.,"6sec 60sec
Channelled: Every second for 6 seconds.
PBAoE: Affects up to 5 enemies in a 10 metre radius around you.
A channelled PBAoE attack that causes enemies within 10 metres to attack you and deal 49 physical damage per hit. While channelling this ability, you have a Block Chance of 100%."
,,,,,,,
Fists,,,,,,,
Feral,Primal,The Wilderness,The Outback,The Streets,Warming Up,Heat of Battle,Play with Fire
Claw,Lick Your Wounds,Bear Knuckle,Salt in the Wounds,Head On,Surgical Steel,Renewal,Shelter
Active Melee Ability,Passive Ability,Active Melee Ability,Passive Ability,Active Melee Ability,Active Melee Ability,Passive Ability,Active Melee Ability
1 ap,1 ap,9 ap ,9 ap ,9 ap ,9 ap ,9 ap ,9 ap 
"Instant Instant
Builds 1 resource for each equipped weapon.
A single target attack that deals 48 physical damage.","Whenever you attack, you gain a single stack of a heal over time effect that heals 1 every second per stack for 3 seconds. This effect can stack up to 5 times.","Instant Instant
Builds 1 resource for each equipped weapon.
A single target attack that deals 46 physical damage, or 54 physical damage if the target is Impaired.","Whenever you apply Afflicted, you deal 10 physical damage to the target.","Instant 5sec
Column Dash: Dash forward 3 metres, affecting 5 enemies in a 6 metre wide column along the way.
Builds 1 Resource for each equipped weapon.
A coulumn dash Blast attack which deals 32 physical damage. This attack can not be evaded and will not glance.","Instant Instant
Consumes all Fist Resources.
A Burst heal that heals the defensive target 3 times for 19 per application and gives a heal over time effect that heals for 9 every second for 5 seconds. Gives you the Savage Sweep effect, causing your next Fist resource consumer you activate to deal 3 damage in an area around you.","Whenever you hit an Impaired target, your attacks have a 10% chance to apply a detrimental effect on the target causing anyone attacking it to gain a heal over time effect that heals for 6 every second for 5 seconds.","Instant Instant
PBAoE: Affects up to 5 friends in a 5 metre radius around you.
Builds 1 Fist Resource.
A PBAoE heal that heals for 18. Affected targets are also given a heal over time effect that heals for 7 every second for 3 seconds."
Sharp Claws,Nurture,Thrill of the Chase,Reckless,Hardheaded,Hot Iron,Empathy,Trespass
Passive Ability,Active Melee Ability,Passive Ability,Active Melee Ability,Passive Ability,Passive Ability,Active Melee Ability,Passive Ability
1 ap,1 ap,12 ap,12 ap,12 ap,12 ap,12 ap,12 ap
"""Claw"" also causes the target to become Afflicted with a damage over time effect that deals 7 physical damage every second for 10 seconds.","Instant Instant
Builds 1 Fist resource.
Heals your defensive target for 32 and gives them a heal over time effect that heals 5 every second for 5 seconds.","Whenever you hit a target from behind, the recharge time of all movement abilites currently recharging is reduced by 2 seconds.
Additionally, ""Thrill of the Chace"" increases the damage dealt by movement abilites by 15%.","Instant 40sec
Gives you a beneficial effect that lasts 10 seconds, which increases all damage dealt by 20% and all damage received by 10%.","Improves ""Head On"" to dash 6 metres, affect up to 7 enemies and deal 25% more damage.","Whenever you heal, you build a Hot Iron counter. When there are 7 counters, your next direct healing ability will heal for an additional 50%.","Instant 25sec
Heals the defensive target for 126, or 145 if the target has a heal over time effect active.","""Shelter"" deals 8 physical damage to up to 5 targets in a 5 metre radius around you."
Hog Wild,Nurturing Gift,One-Two,Bloodsport,Berserk,Cauterise,Restraint,Blast of Light
Active Melee Ability,Passive Ability,Active Melee Ability,Passive Ability,Active Melee Ability,Active Melee Ability,Passive Ability,Active Melee Ability
1 ap,1 ap,16 ap,16 ap,16 ap,16 ap,16 ap,16 ap
"Instant
Cone: Affects up to 5 enemies in a 5 metre long 60 degree cone in front of you.
Consumes all Fist Resources.
A cone Blast attack that deals 59 physical damage. Gives you the Savage Sweep effect, causing the next Fist resource consumer you activate to deal 3 physical damage in an area around you.","Increases the duration of ""Nurture"" by 5 seconds.","Instant
Consumes all Fist Resources.
A Burst attack with two consecutive hits that deal 22 and 63 physical damage. Gives you the Savage Sweep effect, causing the next fist resource consumer you activate to deal 3 physical damage in an area around you.
","Whenever you hit a target, it becomes Afflicted with a damage over time effect that deals 2 physical damage per stack for 3 seconds. If you do a glancing hit against the target, this effect is removed.","Instant Instant
Consumes all Fist resources
Each resource consumed will give you a counter. Your next hits will cause an additional PBAoE attack dealing 27 physical damage. Each additional attack will subtract one counter until you run out of counters. ""Berserk"" also gives you the Feral Regrowth effect, causing your next Fist resource consumer to heal you for 6.","Instant Instant
Builds 1 Fist Resource.
Heals the defensive target for 40 and gives a heal over time effect that heals 3 every second for 3 seconds. This effect can stack up to 3 times.","Whenever you attack, you build a Restraint counter. When you have 6 counters, your next attack causes the target to become Impaired and unable to acttivate abilities for 3 seconds. If you perform a glancing hit, the counter will be reset.","Instant Instant
Cone: Affects up to 5 friends in a 5 metre long 120 degree cone in front of you.
Consumes all Fist Resources.
A cone Blast heal that heals for 18. Affected targets also gain a heal over time effect that heals for 7 every second for 6 seconds. You gain a heal over time effect that heals for 4 every second for 6 seconds."
Killer Instinct,Pack Leader,Follow Through,Cage Fight,Bruising Blast,Healing Sparks,Vigour,Positive Reaction
Passive Ability,Active Melee Ability,Passive Ability,Active Melee Ability,Passive Ability,Passive Ability,Active Melee Ability,Passive Ability
2 ap,2 ap,21 ap,21 ap,21 ap,21 ap,21 ap,21 ap
"Whenever you attack, you build a Killer Instinct counter. When there are 4 counters, your next attack cannot be evaded and will reset the counter. Also increases damage dealt by 1% per counter.","Instant 90sec
Gives all group members a beneficial effect that reduces the chance of performing glancing hits by 80% for 10 seconds.","Increases damage dealt by ""One-Two's"" second hit by 25%.","Instant 20sec
PBAoE: Applied to 5 enemies in a 5 metre radius.
A PBAoE attack that deals 49 physical damage. Affected targets also become Afflicted with a damage over time effect that deals 13 physical damage every second for 3 seconds.",Blast attacks are 7.5% more effective.,"Whenever you activate a Burst ability, you give the defensive target a heal over time effect that heals for 8 every second for 4 seconds.","Instant 20sec
Places a healing area at the targeted point that lasts 5 seconds. Every second it heals up to 5 friends in a 5 metre radius for 22.","Whenever hit or heal with a Blast ability, you gain a reactive heal effect that heals for 11 the next time you are attacked."
Prey on the Weak,Alpha Wolf,Tear 'Em Up,Animal Instinct,Savage,Creature Comfort,Making Amends,Inner Spark
Active Melee Ability,Passive Ability,Active Melee Ability,Passive Ability,Active Melee Ability,Active Melee Ability,Passive Ability,Active Melee Ability
3 ap,3 ap,27 ap,27 ap,27 ap,27 ap,27 ap,27 ap
"Instant Instant
Builds 1 resource for each equipped weapon.
A single target Burst attack that hits 3 times, dealing 15 physical damage per hit. If the target is Impaired, this attack builds 1 additional Fist Resource.","Reduces the recharge time of ""Pack Leader"" by 30 seconds.","Instant Instant
Consumes all Fist Resources.
A single target ability that deals 82 physical damage. If the target is Afflicted you also gain a beneficial effect that increases damage by 10% for 4 seconds. ""Tear 'Em Up"" gives you the Feral Regrowth effect, causing your next Fist resource consumer to heal you for 6.","The Savage Sweep effect deals 50% additional damage, and hits up to 5 targets instead of the normal 3.","Instant
Cone: Affects up to 5 enemies in a 5 metre long 60 degree cone in front of you.
Consumes all Fist Resources.
A cone attack that deals 57 physical damage. Gives the Savage Sweep effect, causing your next Fist resource consumer you activate to deal 3 physical damage in an area around you. If any target is Impaired it also gives you the Feral Regrowth effect, causing your next Fist resource consumer to heal you for 6.","Instant Instant
Consumes all Fist resources.
Your defensive target gains a  heal over time effect that heals for 17 every second for 6 seconds. Gives the Feral growth effect, causing your next fist resource consumer to heal you for 6.",Your heal over time effects are 10% more effective.,"Instant Instant
Consumes all Fist Resources.
You give your defensive target a reactive heal effect that heals for 6 whenever it is attacked. This effect has a duration of 10 seconds."
Predator,Wild at Heart,Ferocity,Bushwack,Concussion,Glimmer of Hope,Muzzle,Kindle
Passive Ability,Active Melee Ability,Passive Ability,Active Melee Ability,Passive Ability,Passive Ability,Active Melee Ability,Passive Ability
4 ap,4 ap,34 ap,34 ap,34 ap,34 ap,34 ap,34 ap
